candidate	song	artist	sentiment	theme	album_release_date	line	url	artist_genius	lastfm_song	lastfm_artist	lastfm_listeners
Hillary Clinton	R.I.P.	King Kold	neutral		2014	Was content with that basic shit / My Hillary Clinton	http://genius.com/King-kold-rip-lyrics	King Kold		King Kold
Donald Trump	Minority Report	KXNG Crooked	positive	hotel	2013	"I�m in the Trump and the National out in Sunny Isles, Miami"	http://genius.com/Crooked-i-minority-report-lyrics	Crooked I	Crooked I	Minority Report	69
Donald Trump	Shut Up Bitch	Lil Kim	positive	hotel	2005	"I'm in the Trump International, 30 floors up (so high)"	http://genius.com/Lil-kim-shut-up-bitch-lyrics	Lil\' Kim	Shut Up Bitch	Lil Kim	71
Donald Trump	What's Up Wit Dat	Lil Wayne	positive	money	2000	Next time you see me I'll have money like Donald Trump	http://genius.com/Juvenile-whats-up-wit-dat-lyrics	Juvenile
Donald Trump	Lil Snupe Meek Mill Freestyle Part 2	Lil' Snupe	positive	money	2013	And show her how I get it like I'm Donald Trump	http://genius.com/Lil-snupe-lil-snupe-meek-mill-freestyle-part-2-lyrics	Lil\' Snupe	Lil Snupe Freestyle	Lil Snupe	183
Donald Trump	Red Drops	Limbz	negative	money	2016	My main problem with Trump is how he uses money as distortion / Shows that one man's cash can be everyone's misfortune	http://genius.com/Limbz-red-drops-lyrics	Limbz
Hillary Clinton	Male Feminist	Mazeman	positive	political	2011	"Hilary Clinton, yeah she's winning"	http://genius.com/Mc-lars-male-feminist-lyrics	MC Lars	Male Feminist (Featuring Mazeman)	MC Lars	541
Hillary Clinton	Fuck the Government	Mediumjay	negative	political	2012	"Fuck, The Governments Shit / Fuck, Hillary Clinton that Bitch"	http://genius.com/Mediumjay-fuck-the-government-lyrics	Mediumjay
Donald Trump	Bizarre	Mouf	neutral	The Apprentice	2014	"Here trump shit, Donald Trump shit"	http://genius.com/Jaygo-bizarre-lyrics	Jaygo	Bizarre (ft. Mouf) [prod. ryanlayzer]	Jaygo	1
Donald Trump	The N	Nas	neutral	personal	2006	The Apprentice but not Trump	http://genius.com/Nas-the-n-lyrics	Nas
Hillary Clinton	PSA	Pryde	neutral	personal	2012	But they only like me for my bill like they're Hillary	http://genius.com/Pryde-psa-lyrics	RUSSELL (aka Pryde)
Hillary Clinton	Smells Like	R.A. The Rugged Man	neutral	sexual	2013	"Hillary Clinton can get her clit done with my big tounge / Have the bitch strung, once me dick swung, her lip drip cum"	http://genius.com/Jarren-benton-smells-like-lyrics	Jarren Benton	Smells Like (feat. R.A. The Rugged Man & Mic Buddah)	Jarren Benton	533
Donald Trump	Google That	Raekwon	positive	money	2012	"Black Trump, n----, with fat pockets"	http://genius.com/Nore-google-that-lyrics	N.O.R.E.	Google That (feat. Styles P & Raekwon)	N.O.R.E.	174
Hillary Clinton	We Live This	Roxanne Shant̩	neutral		2000	"Roxanne Shant̩, Hilary Clinton / Lay out the red carpet y'all hoes shut up and listen"	http://genius.com/Big-noyd-we-live-this-lyrics	Big Noyd	We Live This	Big Noyd	156
Hillary Clinton	I'm Me Freestyle	"Royce Da 5'9"""	neutral		2008	"This industry is Hillary Clinton literally, listen / You ain't got no choice now"	http://genius.com/Royce-da-59-im-me-freestyle-lyrics	Royce Da 5\xe2\x80\x999\xe2\x80\x9d	I'm Me Freestyle	"Royce Da 5'9"""	1630
Donald Trump	Vagina	"Royce Da 5'9"""	positive	hotel	2010	I'm in the Trump Tower shower washin' ink off me	http://genius.com/Royce-da-59-vagina-lyrics	Royce Da 5\xe2\x80\x999\xe2\x80\x9d	Vagina	"Royce Da 5'9"""	1631
Donald Trump	Hard (Freestyle)	"Royce Da 5'9"""	positive	hotel	2016	I'm flyer than Mos Def in a Trump tower surrounded by four chefs	http://genius.com/Royce-da-59-hard-freestyle-lyrics	Royce Da 5\xe2\x80\x999\xe2\x80\x9d	Hard	"Royce Da 5'9"""	2268
Donald Trump	Which Is Cool	Royce da 5�۪9�۝	positive	hotel	2016	"Like Tommy Lee and Pam Anderson, I'm in the Trump Tower"	http://genius.com/Royce-da-59-which-is-cool-lyrics	Royce Da 5\xe2\x80\x999\xe2\x80\x9d	Which Is Cool	"Royce Da 5'9"""	716
Donald Trump	Spraying My Pen	Saukrates	positive	money	2013	"Ain't no apprentice, I'm Donald Trump / Get money, get money, I don't succumb"	http://genius.com/K-os-spraying-my-pen-lyrics	K-os	Spraying My Pen - feat. Saukrates and Shad	K-OS	435
Hillary Clinton	What the Fuck Is Up?	Scarlett	neutral	personal	1999	"Wanna diss me, cuz I cut you down quickly / I'm Hillary to this shit, you still fuckin with Lewinsky"	http://genius.com/Nore-what-the-fuck-is-up-lyrics	N.O.R.E.	What The Fuck Is Up	N.O.R.E.	85
Donald Trump	Big Tyme	Stretch	positive	money	2001	"I'm beyond that, livin' like Trump"	http://genius.com/E-money-bags-big-time-lyrics	E-Money Bags	Big Tyme (feat. 2Pac & Live Squad)	E-Money Bags	2
Donald Trump	MONEY LIKE MY OG	Swagg Porter & Star	positive	hotel	2012	"Now its 1st class Flights, Penthouse at the Trump for the Night"	http://genius.com/Swagg-porter-and-star-money-like-my-og-lyrics	Swagg Porter & Star
Donald Trump	I Think I'm Swipa	Swipa	positive	money	2013	Getting these dollars call me Swipa Trump	http://genius.com/Swipa-i-think-im-swipa-lyrics	Swipa
Donald Trump	Come Down (Remix)	T.I.	negative	political	2016	"I fantasize shooting Trump down, A shot for every black man who got gunned down"	http://genius.com/Anderson-paak-come-down-remix-lyrics	Anderson .Paak	Come Down (Remix)	Anderson .Paak	2452
Donald Trump	Digest It	Tiara	negative	political	2016	"The world gon' end real soon, especially if Trump gets elected"	http://genius.com/Royce-da-59-digest-it-lyrics	Royce Da 5\xe2\x80\x999\xe2\x80\x9d	Digest It	"Royce Da 5'9"""	238
Donald Trump	High Seas (C+)	Tom Hobbes	positive	money	2013	And I'm all about that real estate so Donald Trump I feel you	http://genius.com/Tom-hobbes-high-seas-c-lyrics	Tom Hobbes
Donald Trump	"Blase (Jeezy, Juicy J & Diddy Remix)"	Ty Dolla $ign	negative	political	2015	I don�t fuck with Donald Trump he don�t like us	http://genius.com/Ty-dolla-sign-blase-jeezy-juicy-j-and-diddy-remix-lyrics	Ty Dolla $ign	"Blase (Jeezy, Juicy J & Diddy Remix)"	Ty Dolla $ign	4
Bernie Sanders	The Ancap Rap	Young Rippa	negative	political	2015	Bernie sanders is an economic illiterate	http://genius.com/Young-rippa-the-ancap-rap-lyrics	Young Rippa	Ancap Rap	BackWordz & Outnumbered Presents: Rippa's Raps #2	1
Donald Trump	Keith Sweat (Jodeci Freestyle)	Young Tero	neutral	The Apprentice	2014	"Cause I got goons that keep the fire, no Donald Trump"	http://genius.com/Young-tero-keith-sweat-jodeci-freestyle-lyrics	Young Tero		Young Tero
Hillary Clinton	For Real	Yung God	neutral	personal	2014	"Bang, Heavy artillery young Bill Clint / Make your girl go Hillary boy"	http://genius.com/Yung-god-for-real-lyrics	TheYungGod	For Real ft. Gino Driggs & YLTI	The Yung God	57
