candidate	song	artist	sentiment	theme	album_release_date	line	url	artist_genius	lastfm_song	lastfm_artist	lastfm_listeners
Donald Trump	So What	Far East Movement	positive	money	2010	Hundred dollar bills stacked higher than the Trump	http://genius.com/Far-east-movement-so-what-lyrics	Far East Movement	So What?	Far East Movement	54531
Donald Trump	Soldiers	Master P	neutral		1998	Follow me dumpin' n----s study humpin' I ain't Donald Trump	http://genius.com/C-murder-soldiers-lyrics	C-Murder	Soldiers	C-Murder	335
Hillary Clinton	One	Corny	positive	money	2014	"Blowing up like some artillery, Bills coming to me like Hillary"	http://genius.com/Corny-one-lyrics	Corny	song #1	Corny	1
Donald Trump	Soundscience	Souls of Mischief	neutral	personal	2000	They high drama like Trump and Ivana	http://genius.com/Souls-of-mischief-soundscience-lyrics	Souls of Mischief	Soundscience	Souls of Mischief	2398
Donald Trump	Speed Law	Yasiin Bey (Mos Def)	positive	hotel	1999	Rocked the Trump Tower to the terrordome	http://genius.com/Yasiin-bey-speed-law-lyrics	Yasiin Bey	Speed Law	Mos Def	129400
Donald Trump	Spend Some Cheese	Shyne	positive	money	2000	"Like Don Trump, Black Ted Turner, totin burners"	http://genius.com/Shyne-spend-some-cheese-lyrics	Shyne	Spend Some Cheese	Shyne	1827
Hillary Clinton	Stand Tall	Ice Cube	negative		2008	Never put your trust in Hillary Rodham / Cause I can tell you now it's gon' turn out rotten	http://genius.com/Ice-cube-stand-tall-lyrics	Ice Cube	Stand Tall	Ice Cube	10240
Donald Trump	Still Get It in Ohio	Machine Gun Kelly	neutral		2010	And they call me Donald Trump Mr. O-H-I-O took your misses / And now you just Mr. I-hate-my-ho (lame)	http://genius.com/Machine-gun-kelly-still-get-it-in-ohio-lyrics	Machine Gun Kelly	Still Get It In Ohio	Machine Gun Kelly	1467
Donald Trump	Straight Drop	Gucci Mane	neutral		2015	"Hugo Boss, [?], I just Donald Trump you"	http://genius.com/Gucci-mane-straight-drop-lyrics	Gucci Mane	Straight Drop	Gucci Mane	257
Donald Trump	Street 2 Street	Jay-O-Felony	positive	money	1997	Smokin the hump with dreams of livin lavish like Donald Trump	http://genius.com/Jay-o-felony-street-2-street-lyrics	Jayo Felony	Street 2 Street	Jayo Felony	147
Donald Trump	Strip Club Luv	69 Boyz	positive	money	1998	Girl if your beauty was a dollar you'd be richer than Trump	http://genius.com/69-boyz-strip-club-luv-lyrics	69 Boyz	Strip Club Luv	69 Boyz	66
Donald Trump	Success	Jay Z	positive	hotel	2007	I got watches I ain't seen in months / Apartment at the Trump; I only slept in once	http://genius.com/Jay-z-success-lyrics	JAY-Z	Success	JAY Z	0
Donald Trump	Suicide	Fabolous	positive	hotel	2008	"It's Loso, a.k.a the 1 Trump Plaza suite creeper"	http://genius.com/Fabolous-suicide-lyrics	Fabolous	Suicide	Fabolous	1859
Hillary Clinton	Sway in the Morning Freestyle	Eminem	negative	political	2015	"But Hilllary, I promise to wipe my server clean if you face subpoenas"	http://genius.com/Eminem-sway-in-the-morning-freestyle-lyrics	Eminem	Sway in The Morning Freestyle	Eminem	28
Donald Trump	Sway in The Morning Freestyle	Eminem	negative	political	2015	I'm fucked worse than Donald Trump on Lexapro in Mexico across from a Texaco in McDonald's drunk	http://genius.com/Eminem-sway-in-the-morning-freestyle-lyrics	Eminem	Sway in The Morning Freestyle	Eminem	28
Donald Trump	Take It Off Part 2	Busta Rhymes	positive	hotel	2002	Kennedy loft hoes mackin at the top of the Trump Towers	http://genius.com/Busta-rhymes-take-it-off-part-2-lyrics	Busta Rhymes	Take It Off Part 2	Busta Rhymes	1392
Hillary Clinton	Take Notice	Sheek Louch	neutral		2012	"Hillary said I frighten her / Alarm go off, choking off the teeth whitener"	http://genius.com/Wu-block-take-notice-lyrics	Wu Block	Take Notice (Feat. Ghostface Killah and Sheek Louch)	Sheek Louch	1
Donald Trump	Tell Me What You're Lookin' For	Kane & Abel	positive	money	1998	"Kane and Abel in this bitch, gettin' rich as Trump"	http://genius.com/Kane-tell-me-what-youre-lookin-for-lyrics	Kane	Tell Me What You're Lookin For ft. Gotti and Full Blooded	Kane & Abel	4
Jeb Bush	Tell Me Why	Zeno	neutral	personal	2005	I was promised eternal life from the beginning / But look at Bush and his brother	http://genius.com/Vanilla-ice-tell-me-why-lyrics	Vanilla Ice	Tell Me Why	Vanilla Ice	629
Donald Trump	The Coup	The Coup	negative	political	1993	"Break yourself Trump, it's collection day"	http://genius.com/The-coup-the-coup-lyrics	The Coup	The Coup	The Coup	4099
Donald Trump	The Dangerous Three	R.A. The Rugged Man	positive	power	2013	"I'm the Don: Corleone, Cornelius, Trump, King"	http://genius.com/Ra-the-rugged-man-the-dangerous-three-lyrics	R.A. the Rugged Man	The Dangerous Three	R.A. the Rugged Man	5061
Donald Trump	The Ebonic Plague	Ras Kass	neutral		1997	Donald Trump wouldn't let you shine his shoes my man	http://genius.com/Cru-the-ebonic-plague-lyrics	Cru	The Ebonic Plague (Cru)	Ras Kass	6
Hillary Clinton	The Ghetto Won't Change	Master P	negative	political	1996	"Every dollar I make, ten go back to Hillary and Bill, I guess life is real"	http://genius.com/Master-p-the-ghetto-wont-change-lyrics	Master P	The Ghetto Won't Change	Master P	417
Donald Trump	The Morning News	Chamillionaire	neutral		2007	Rosie O'Donnell and Donald Trump stay arguin' about nonsense	http://genius.com/Chamillionaire-the-morning-news-lyrics	Chamillionaire	The Morning News	Chamillionaire	90349
Donald Trump	The People's Douche	Spose	neutral	money	2013	Donald Trump just asked me for spare change	http://genius.com/Spose-the-peoples-douche-lyrics	Spose	The People's Douche	Spose	379
Jeb Bush	The Truth	Diabolic	negative	political	2006	What you heard before ain't as big of a lesson / As George and Jeb Bush rigging elections	http://genius.com/Diabolic-the-truth-lyrics	Diabolic	The Truth (Part 1)	Diabolic	177
Donald Trump	Think Like a Man	Rick Ross	positive	hotel	2012	"Penthouse, at the Trump, sit on Collins Ave"	http://genius.com/Jennifer-hudson-think-like-a-man-lyrics	Jennifer Hudson	Think Like A Man (Feat. Ne-Yo & Jennifer Hudson)	Rick Ross	19
Donald Trump	This Is the Life	Rick Ross	positive	hotel	2008	"I'm in Trump Towers, amongst earners"	http://genius.com/Rick-ross-this-is-the-life-lyrics	Rick Ross	This Is The Life (featuring Trey Songz)	Rick Ross	6278
Donald Trump	Thought U Lost It	Caskey	negative	political	2016	Our country-fucked if I'm assessin' the candidates / If Donald Trump wins maybe a man of space	http://genius.com/Caskey-thought-u-lost-it-lyrics	Caskey	Thought U Lost It	Caskey	93
